ID,Age,Age points,Age group,Sex,Job,Job points,Housing,Housing points,Saving accounts,Saving points,Checking account,Checking points,Credit amount,Credit points,Duration,Duration points,Purpose,Total score,Risk
273,28,20,25-40,male,2,20,own,20,little,10,moderate,20,3060,15,48,10,radio/TV,115,Medium risk
274,34,20,25-40,male,1,10,own,20,little,10,little,10,11998,5,30,10,repairs,85,High risk
275,32,20,25-40,male,2,20,own,20,little,10,NA,5,2697,30,9,20,radio/TV,125,Medium risk
276,26,20,25-40,female,2,20,own,20,little,10,NA,5,2404,30,18,10,radio/TV,115,Medium risk
277,49,30,41-75,male,1,10,own,20,NA,5,little,10,1262,30,12,20,furniture/equipment,125,Medium risk
278,32,20,25-40,female,2,20,own,20,little,10,NA,5,4611,15,6,20,furniture/equipment,110,Medium risk
279,29,20,25-40,male,3,30,rent,10,moderate,15,NA,5,1901,30,24,10,radio/TV,120,Medium risk
280,23,10,<25,male,2,20,rent,10,rich,20,NA,5,3368,15,15,10,car,90,High risk
281,50,30,41-75,male,2,20,own,20,little,10,NA,5,1574,30,12,20,furniture/equipment,135,Medium risk
282,49,30,41-75,male,1,10,own,20,NA,5,rich,30,1445,30,18,10,radio/TV,135,Medium risk
283,63,30,41-75,male,2,20,own,20,NA,5,NA,5,1520,30,15,10,furniture/equipment,120,Medium risk
284,37,20,25-40,male,2,20,own,20,moderate,15,moderate,20,3878,15,24,10,car,120,Medium risk
285,35,20,25-40,female,1,10,own,20,little,10,little,10,10722,5,47,10,car,85,High risk
286,26,20,25-40,male,2,20,own,20,little,10,little,10,4788,15,48,10,car,105,Medium risk
287,31,20,25-40,male,3,30,free,5,moderate,15,moderate,20,7582,15,48,10,vacation/others,115,Medium risk
288,49,30,41-75,female,2,20,own,20,little,10,moderate,20,1092,30,12,20,radio/TV,150,Low risk
289,48,30,41-75,male,2,20,own,20,little,10,little,10,1024,30,24,10,radio/TV,130,Medium risk
290,26,20,25-40,male,2,20,own,20,little,10,NA,5,1076,30,12,20,business,125,Medium risk
291,28,20,25-40,male,3,30,rent,10,little,10,moderate,20,9398,15,36,10,car,115,Medium risk
292,44,30,41-75,female,3,30,free,5,little,10,little,10,6419,15,24,10,car,110,Medium risk
293,56,30,41-75,male,2,20,free,5,little,10,rich,30,4796,15,42,10,car,120,Medium risk
294,46,30,41-75,male,3,30,own,20,NA,5,NA,5,7629,15,48,10,business,115,Medium risk
295,26,20,25-40,female,2,20,own,20,little,10,moderate,20,9960,15,48,10,furniture/equipment,115,Medium risk
296,20,10,<25,female,2,20,rent,10,NA,5,NA,5,4675,15,12,20,car,85,High risk
297,45,30,41-75,male,1,10,own,20,NA,5,NA,5,1287,30,10,20,car,120,Medium risk
298,43,30,41-75,male,2,20,own,20,little,10,NA,5,2515,30,18,10,furniture/equipment,125,Medium risk
299,32,20,25-40,male,2,20,own,20,rich,20,moderate,20,2745,30,21,10,furniture/equipment,140,Low risk
300,54,30,41-75,female,0,5,own,20,little,10,NA,5,672,30,6,20,car,120,Medium risk
301,42,30,41-75,female,2,20,own,20,little,10,moderate,20,3804,15,36,10,radio/TV,125,Medium risk
302,37,20,25-40,male,1,10,own,20,NA,5,rich,30,1344,30,24,10,car,125,Medium risk
303,49,30,41-75,male,2,20,own,20,little,10,little,10,1038,30,10,20,car,140,Low risk
304,44,30,41-75,male,2,20,free,5,quite rich,30,NA,5,10127,5,48,10,car,105,Medium risk
305,33,20,25-40,male,2,20,own,20,rich,20,NA,5,1543,30,6,20,furniture/equipment,135,Medium risk
306,24,10,<25,female,1,10,rent,10,NA,5,NA,5,4811,15,30,10,car,65,High risk
307,33,20,25-40,male,1,10,own,20,moderate,15,little,10,727,30,12,20,radio/TV,125,Medium risk
308,24,10,<25,female,2,20,own,20,little,10,moderate,20,1237,30,8,20,furniture/equipment,130,Medium risk
309,22,10,<25,male,1,10,rent,10,little,10,moderate,20,276,30,9,20,car,110,Medium risk
310,40,30,25-40,male,0,5,free,5,NA,5,moderate,20,5381,15,48,10,vacation/others,90,High risk
311,25,20,25-40,male,2,20,own,20,moderate,15,NA,5,5511,15,24,10,furniture/equipment,105,Medium risk
312,26,20,25-40,female,2,20,own,20,little,10,rich,30,3749,15,24,10,furniture/equipment,125,Medium risk
313,25,20,25-40,male,1,10,own,20,little,10,moderate,20,685,30,12,20,car,130,Medium risk
314,29,20,25-40,male,1,10,own,20,NA,5,rich,30,1494,30,4,20,car,135,Medium risk
315,31,20,25-40,male,2,20,own,20,little,10,little,10,2746,30,36,10,furniture/equipment,120,Medium risk
316,38,20,25-40,male,1,10,own,20,little,10,little,10,708,30,12,20,furniture/equipment,120,Medium risk
317,48,30,41-75,female,1,10,own,20,NA,5,moderate,20,4351,15,24,10,furniture/equipment,110,Medium risk
318,32,20,25-40,male,2,20,own,20,little,10,NA,5,701,30,12,20,education,125,Medium risk
319,27,20,25-40,female,1,10,own,20,little,10,little,10,3643,15,15,10,furniture/equipment,95,High risk
320,28,20,25-40,male,3,30,own,20,little,10,moderate,20,4249,15,30,10,car,125,Medium risk
321,32,20,25-40,male,2,20,own,20,little,10,little,10,1938,30,24,10,radio/TV,120,Medium risk
322,34,20,25-40,male,3,30,free,5,little,10,little,10,2910,30,24,10,car,115,Medium risk
323,28,20,25-40,male,2,20,own,20,rich,20,little,10,2659,30,18,10,furniture/equipment,130,Medium risk
324,36,20,25-40,female,2,20,own,20,little,10,NA,5,1028,30,18,10,car,115,Medium risk
325,39,20,25-40,male,1,10,own,20,little,10,little,10,3398,15,8,20,car,105,Medium risk
326,49,30,41-75,male,2,20,rent,10,NA,5,NA,5,5801,15,12,20,furniture/equipment,105,Medium risk
327,34,20,25-40,female,2,20,own,20,rich,20,NA,5,1525,30,24,10,car,125,Medium risk
328,31,20,25-40,male,2,20,own,20,little,10,rich,30,4473,15,36,10,radio/TV,125,Medium risk
329,28,20,25-40,male,2,20,own,20,little,10,moderate,20,1068,30,6,20,radio/TV,140,Low risk
330,75,30,41-75,male,3,30,free,5,little,10,little,10,6615,15,24,10,car,110,Medium risk
331,30,20,25-40,female,2,20,own,20,moderate,15,NA,5,1864,30,18,10,education,120,Medium risk
332,24,10,<25,female,3,30,own,20,moderate,15,moderate,20,7408,15,60,5,car,115,Medium risk
333,24,10,<25,female,1,10,rent,10,moderate,15,NA,5,11590,5,48,10,car,65,High risk
334,23,10,<25,male,2,20,rent,10,little,10,little,10,4110,15,24,10,furniture/equipment,85,High risk
335,44,30,41-75,male,3,30,rent,10,little,10,little,10,3384,15,6,20,furniture/equipment,125,Medium risk
336,23,10,<25,female,1,10,own,20,little,10,moderate,20,2101,30,13,10,radio/TV,110,Medium risk
337,24,10,<25,female,2,20,rent,10,NA,5,little,10,1275,30,15,10,domestic appliances,95,High risk
338,28,20,25-40,male,2,20,own,20,little,10,little,10,4169,15,24,10,furniture/equipment,105,Medium risk
339,31,20,25-40,male,1,10,own,20,little,10,moderate,20,1521,30,10,20,furniture/equipment,130,Medium risk
340,24,10,<25,female,2,20,free,5,little,10,moderate,20,5743,15,24,10,education,90,High risk
341,26,20,25-40,female,1,10,rent,10,little,10,little,10,3599,15,21,10,furniture/equipment,85,High risk
342,25,20,25-40,male,2,20,rent,10,quite rich,30,moderate,20,3213,15,18,10,radio/TV,125,Medium risk
343,33,20,25-40,male,3,30,own,20,little,10,moderate,20,4439,15,18,10,business,125,Medium risk
344,37,20,25-40,male,1,10,own,20,little,10,rich,30,3949,15,10,20,car,125,Medium risk
345,43,30,41-75,female,1,10,own,20,little,10,NA,5,1459,30,15,10,radio/TV,115,Medium risk
346,23,10,<25,male,2,20,own,20,little,10,moderate,20,882,30,13,10,radio/TV,120,Medium risk
347,23,10,<25,female,0,5,rent,10,quite rich,30,moderate,20,3758,15,24,10,radio/TV,100,High risk
348,34,20,25-40,male,1,10,own,20,moderate,15,NA,5,1743,30,6,20,business,120,Medium risk
349,32,20,25-40,male,2,20,free,5,rich,20,moderate,20,1136,30,9,20,education,135,Medium risk
350,23,10,<25,female,2,20,rent,10,little,10,NA,5,1236,30,9,20,domestic appliances,105,Medium risk
351,29,20,25-40,female,2,20,own,20,little,10,moderate,20,959,30,9,20,furniture/equipment,140,Low risk
352,38,20,25-40,male,3,30,own,20,NA,5,NA,5,3229,15,18,10,car,105,Medium risk
353,28,20,25-40,male,2,20,rent,10,little,10,little,10,6199,15,12,20,radio/TV,105,Medium risk
354,46,30,41-75,male,2,20,free,5,quite rich,30,NA,5,727,30,10,20,education,140,Low risk
355,23,10,<25,male,1,10,own,20,little,10,moderate,20,1246,30,24,10,car,110,Medium risk
356,49,30,41-75,male,2,20,own,20,NA,5,NA,5,2331,30,12,20,radio/TV,130,Medium risk
357,26,20,25-40,male,3,30,own,20,little,10,NA,5,4463,15,36,10,radio/TV,110,Medium risk
358,28,20,25-40,male,2,20,own,20,little,10,NA,5,776,30,12,20,radio/TV,125,Medium risk
359,23,10,<25,female,2,20,rent,10,little,10,little,10,2406,30,30,10,furniture/equipment,100,High risk
360,61,30,41-75,male,2,20,free,5,NA,5,moderate,20,1239,30,18,10,education,120,Medium risk
361,37,20,25-40,male,3,30,own,20,NA,5,rich,30,3399,15,12,20,radio/TV,140,Low risk
362,36,20,25-40,female,2,20,own,20,little,10,rich,30,2247,30,12,20,car,150,Low risk
363,21,10,<25,male,2,20,rent,10,little,10,NA,5,1766,30,6,20,furniture/equipment,105,Medium risk
364,25,20,25-40,male,0,5,own,20,little,10,little,10,2473,30,18,10,furniture/equipment,105,Medium risk
365,36,20,25-40,male,2,20,own,20,little,10,NA,5,1542,30,12,20,business,125,Medium risk
366,27,20,25-40,male,2,20,own,20,little,10,NA,5,3850,15,18,10,car,100,High risk
367,22,10,<25,female,2,20,rent,10,little,10,little,10,3650,15,18,10,furniture/equipment,85,High risk
368,42,30,41-75,male,2,20,own,20,little,10,little,10,3446,15,36,10,furniture/equipment,115,Medium risk
369,40,30,25-40,female,2,20,rent,10,little,10,moderate,20,3001,15,18,10,furniture/equipment,115,Medium risk
370,36,20,25-40,male,2,20,own,20,NA,5,NA,5,3079,15,36,10,car,95,High risk
371,33,20,25-40,male,2,20,own,20,little,10,NA,5,6070,15,18,10,radio/TV,100,High risk
372,23,10,<25,female,2,20,rent,10,little,10,NA,5,2146,30,10,20,furniture/equipment,105,Medium risk
373,63,30,41-75,male,3,30,free,5,NA,5,NA,5,13756,5,60,5,car,85,High risk
374,60,30,41-75,female,3,30,free,5,moderate,15,moderate,20,14782,5,60,5,vacation/others,110,Medium risk
375,37,20,25-40,female,2,20,rent,10,little,10,little,10,7685,15,48,10,business,95,High risk
376,34,20,25-40,male,2,20,own,20,little,10,NA,5,2320,30,18,10,radio/TV,115,Medium risk
377,36,20,25-40,male,2,20,free,5,NA,5,NA,5,846,30,7,20,radio/TV,105,Medium risk
378,57,30,41-75,male,3,30,free,5,little,10,moderate,20,14318,5,36,10,car,110,Medium risk
379,52,30,41-75,female,1,10,own,20,moderate,15,NA,5,362,30,6,20,car,130,Medium risk
380,39,20,25-40,male,2,20,own,20,NA,5,little,10,2212,30,20,10,furniture/equipment,115,Medium risk
381,38,20,25-40,female,3,30,free,5,little,10,moderate,20,12976,5,18,10,car,100,High risk
382,25,20,25-40,female,2,20,rent,10,NA,5,NA,5,1283,30,22,10,car,100,High risk
383,26,20,25-40,male,2,20,own,20,little,10,rich,30,1330,30,12,20,car,150,Low risk
384,26,20,25-40,male,1,10,own,20,moderate,15,NA,5,4272,15,30,10,business,95,High risk
385,25,20,25-40,female,2,20,own,20,little,10,NA,5,2238,30,18,10,radio/TV,115,Medium risk
386,21,10,<25,female,2,20,rent,10,NA,5,NA,5,1126,30,18,10,radio/TV,90,High risk
387,40,30,25-40,male,3,30,own,20,little,10,moderate,20,7374,15,18,10,furniture/equipment,135,Medium risk
388,27,20,25-40,male,2,20,own,20,quite rich,30,moderate,20,2326,30,15,10,business,150,Low risk
389,27,20,25-40,female,2,20,own,20,little,10,NA,5,1449,30,9,20,business,125,Medium risk
390,30,20,25-40,male,3,30,own,20,little,10,NA,5,1820,30,18,10,car,125,Medium risk
391,19,10,<25,female,1,10,rent,10,rich,20,moderate,20,983,30,12,20,furniture/equipment,120,Medium risk
392,39,20,25-40,male,3,30,free,5,little,10,little,10,3249,15,36,10,car,100,High risk
393,31,20,25-40,female,2,20,own,20,little,10,little,10,1957,30,6,20,radio/TV,130,Medium risk
394,31,20,25-40,male,3,30,own,20,little,10,NA,5,2406,30,9,20,furniture/equipment,135,Medium risk
395,32,20,25-40,male,2,20,rent,10,moderate,15,moderate,20,11760,5,39,10,education,100,High risk
396,55,30,41-75,female,3,30,free,5,little,10,little,10,2578,30,12,20,furniture/equipment,135,Medium risk
397,46,30,41-75,male,2,20,own,20,little,10,little,10,2348,30,36,10,furniture/equipment,130,Medium risk
398,46,30,41-75,male,2,20,rent,10,little,10,moderate,20,1223,30,12,20,car,140,Low risk
399,43,30,41-75,female,1,10,own,20,rich,20,NA,5,1516,30,24,10,radio/TV,125,Medium risk
400,39,20,25-40,male,2,20,own,20,little,10,NA,5,1473,30,18,10,radio/TV,115,Medium risk
401,28,20,25-40,male,2,20,own,20,NA,5,moderate,20,1887,30,18,10,business,125,Medium risk
402,27,20,25-40,male,2,20,own,20,little,10,NA,5,8648,15,24,10,business,100,High risk
403,27,20,25-40,male,1,10,own,20,little,10,NA,5,802,30,14,10,car,105,Medium risk
404,43,30,41-75,male,2,20,own,20,NA,5,moderate,20,2899,30,18,10,car,135,Medium risk
405,22,10,<25,male,2,20,own,20,little,10,moderate,20,2039,30,24,10,radio/TV,120,Medium risk
406,43,30,41-75,male,2,20,own,20,NA,5,NA,5,2197,30,24,10,car,120,Medium risk
407,27,20,25-40,male,2,20,own,20,little,10,little,10,1053,30,15,10,radio/TV,120,Medium risk
408,26,20,25-40,male,3,30,own,20,quite rich,30,NA,5,3235,15,24,10,radio/TV,130,Medium risk
409,28,20,25-40,male,2,20,own,20,quite rich,30,rich,30,939,30,12,20,car,170,Low risk
410,20,10,<25,female,2,20,own,20,little,10,moderate,20,1967,30,24,10,radio/TV,120,Medium risk
411,35,20,25-40,male,3,30,own,20,little,10,NA,5,7253,15,33,10,car,110,Medium risk
412,42,30,41-75,male,3,30,own,20,little,10,NA,5,2292,30,12,20,business,145,Low risk
413,40,30,25-40,male,1,10,rent,10,quite rich,30,NA,5,1597,30,10,20,car,135,Medium risk
414,35,20,25-40,female,2,20,own,20,NA,5,little,10,1381,30,24,10,car,115,Medium risk
415,35,20,25-40,male,2,20,own,20,little,10,NA,5,5842,15,36,10,car,100,High risk
416,33,20,25-40,male,1,10,own,20,little,10,little,10,2579,30,12,20,car,120,Medium risk
417,23,10,<25,female,2,20,rent,10,NA,5,little,10,8471,15,18,10,education,80,High risk
418,31,20,25-40,female,3,30,own,20,quite rich,30,NA,5,2782,30,21,10,car,145,Low risk
419,33,20,25-40,female,2,20,own,20,NA,5,moderate,20,1042,30,18,10,car,125,Medium risk
420,20,10,<25,female,2,20,rent,10,rich,20,NA,5,3186,15,15,10,car,90,High risk
421,30,20,25-40,male,2,20,own,20,NA,5,moderate,20,2028,30,12,20,car,135,Medium risk
422,47,30,41-75,male,1,10,own,20,little,10,moderate,20,958,30,12,20,car,140,Low risk
423,34,20,25-40,male,3,30,own,20,moderate,15,NA,5,1591,30,21,10,furniture/equipment,130,Medium risk
424,25,20,25-40,female,2,20,own,20,NA,5,moderate,20,2762,30,12,20,furniture/equipment,135,Medium risk
425,21,10,<25,male,2,20,rent,10,little,10,moderate,20,2779,30,18,10,car,110,Medium risk
426,29,20,25-40,male,2,20,own,20,little,10,NA,5,2743,30,28,10,radio/TV,115,Medium risk
427,46,30,41-75,male,2,20,own,20,rich,20,NA,5,1149,30,18,10,radio/TV,135,Medium risk
428,20,10,<25,male,2,20,own,20,little,10,NA,5,1313,30,9,20,furniture/equipment,115,Medium risk
429,55,30,41-75,female,0,5,free,5,little,10,little,10,1190,30,18,10,repairs,100,High risk
430,74,30,41-75,male,1,10,own,20,little,10,NA,5,3448,15,5,20,business,110,Medium risk
431,29,20,25-40,male,3,30,own,20,little,10,moderate,20,11328,5,24,10,vacation/others,115,Medium risk
432,36,20,25-40,male,3,30,free,5,little,10,little,10,1872,30,6,20,furniture/equipment,125,Medium risk
433,33,20,25-40,male,2,20,own,20,little,10,NA,5,2058,30,24,10,repairs,115,Medium risk
434,25,20,25-40,male,2,20,own,20,little,10,little,10,2136,30,9,20,furniture/equipment,130,Medium risk
435,25,20,25-40,male,2,20,own,20,NA,5,moderate,20,1484,30,12,20,radio/TV,135,Medium risk
436,23,10,<25,male,1,10,rent,10,quite rich,30,NA,5,660,30,6,20,repairs,115,Medium risk
437,37,20,25-40,female,2,20,own,20,rich,20,NA,5,1287,30,24,10,car,125,Medium risk
438,65,30,41-75,male,0,5,own,20,little,10,little,10,3394,15,42,10,repairs,100,High risk
439,26,20,25-40,female,0,5,own,20,little,10,rich,30,609,30,12,20,business,135,Medium risk
440,39,20,25-40,male,3,30,own,20,little,10,NA,5,1884,30,12,20,car,135,Medium risk
441,30,20,25-40,female,2,20,own,20,little,10,little,10,1620,30,12,20,furniture/equipment,130,Medium risk
442,29,20,25-40,male,2,20,own,20,little,10,moderate,20,2629,30,20,10,vacation/others,130,Medium risk
443,41,30,41-75,male,1,10,own,20,little,10,NA,5,719,30,12,20,education,125,Medium risk
444,30,20,25-40,female,3,30,own,20,little,10,moderate,20,5096,15,48,10,furniture/equipment,125,Medium risk
445,41,30,41-75,female,1,10,rent,10,NA,5,NA,5,1244,30,9,20,education,110,Medium risk
446,34,20,25-40,female,2,20,own,20,little,10,little,10,1842,30,36,10,car,120,Medium risk
447,35,20,25-40,male,2,20,own,20,little,10,moderate,20,2576,30,7,20,radio/TV,140,Low risk
448,55,30,41-75,female,3,30,own,20,NA,5,rich,30,1424,30,12,20,furniture/equipment,165,Low risk
449,61,30,41-75,male,2,20,own,20,rich,20,moderate,20,1512,30,15,10,repairs,150,Low risk
450,30,20,25-40,male,3,30,own,20,NA,5,NA,5,11054,5,36,10,car,95,High risk
451,29,20,25-40,female,2,20,own,20,little,10,NA,5,518,30,6,20,radio/TV,125,Medium risk
452,34,20,25-40,male,2,20,own,20,little,10,NA,5,2759,30,12,20,furniture/equipment,125,Medium risk
453,35,20,25-40,male,3,30,own,20,little,10,NA,5,2670,30,24,10,car,125,Medium risk
454,31,20,25-40,male,2,20,own,20,little,10,little,10,4817,15,24,10,car,105,Medium risk
455,29,20,25-40,female,3,30,own,20,little,10,NA,5,2679,30,24,10,car,125,Medium risk
456,36,20,25-40,male,2,20,rent,10,little,10,little,10,3905,15,11,20,car,105,Medium risk
457,35,20,25-40,male,2,20,free,5,little,10,little,10,3386,15,12,20,car,100,High risk
458,27,20,25-40,female,2,20,own,20,little,10,little,10,343,30,6,20,domestic appliances,130,Medium risk
459,32,20,25-40,male,2,20,own,20,little,10,NA,5,4594,15,18,10,radio/TV,100,High risk
460,37,20,25-40,male,2,20,own,20,little,10,little,10,3620,15,36,10,furniture/equipment,105,Medium risk
461,36,20,25-40,male,2,20,own,20,little,10,little,10,1721,30,15,10,car,120,Medium risk
462,34,20,25-40,female,3,30,rent,10,little,10,moderate,20,3017,15,12,20,furniture/equipment,125,Medium risk
463,38,20,25-40,male,2,20,own,20,NA,5,moderate,20,754,30,12,20,education,135,Medium risk
464,34,20,25-40,male,2,20,own,20,little,10,NA,5,1950,30,18,10,business,115,Medium risk
465,63,30,41-75,male,2,20,own,20,little,10,little,10,2924,30,24,10,car,130,Medium risk
466,29,20,25-40,female,1,10,rent,10,little,10,little,10,1659,30,24,10,radio/TV,100,High risk
467,32,20,25-40,male,2,20,own,20,NA,5,NA,5,7238,15,48,10,radio/TV,95,High risk
468,26,20,25-40,female,2,20,own,20,little,10,NA,5,2764,30,33,10,business,115,Medium risk
469,35,20,25-40,male,1,10,own,20,little,10,NA,5,4679,15,24,10,car,90,High risk
470,22,10,<25,male,2,20,rent,10,moderate,15,moderate,20,3092,15,24,10,radio/TV,100,High risk
471,23,10,<25,female,2,20,own,20,little,10,little,10,448,30,6,20,education,120,Medium risk
472,28,20,25-40,male,1,10,own,20,little,10,little,10,654,30,9,20,car,120,Medium risk
473,36,20,25-40,male,3,30,own,20,NA,5,NA,5,1238,30,6,20,education,130,Medium risk
474,33,20,25-40,male,2,20,own,20,little,10,moderate,20,1245,30,18,10,radio/TV,130,Medium risk
475,26,20,25-40,female,2,20,rent,10,little,10,little,10,3114,15,18,10,furniture/equipment,95,High risk
476,24,10,<25,male,2,20,own,20,quite rich,30,NA,5,2569,30,39,10,car,125,Medium risk
477,25,20,25-40,male,2,20,own,20,little,10,rich,30,5152,15,24,10,radio/TV,125,Medium risk
478,39,20,25-40,male,1,10,own,20,moderate,15,moderate,20,1037,30,12,20,business,135,Medium risk
479,44,30,41-75,male,2,20,own,20,little,10,little,10,1478,30,15,10,furniture/equipment,130,Medium risk
480,23,10,<25,female,1,10,own,20,little,10,moderate,20,3573,15,12,20,radio/TV,105,Medium risk
481,26,20,25-40,male,2,20,own,20,little,10,moderate,20,1201,30,24,10,car,130,Medium risk
482,57,30,41-75,female,2,20,rent,10,rich,20,little,10,3622,15,30,10,furniture/equipment,115,Medium risk
483,30,20,25-40,female,2,20,own,20,rich,20,NA,5,960,30,15,10,furniture/equipment,125,Medium risk
484,44,30,41-75,male,2,20,own,20,quite rich,30,NA,5,1163,30,12,20,car,155,Low risk
485,47,30,41-75,male,3,30,own,20,little,10,moderate,20,1209,30,6,20,car,160,Low risk
486,52,30,41-75,male,2,20,own,20,little,10,NA,5,3077,15,12,20,radio/TV,120,Medium risk
487,62,30,41-75,female,2,20,free,5,little,10,NA,5,3757,15,24,10,car,95,High risk
488,35,20,25-40,male,1,10,rent,10,moderate,15,NA,5,1418,30,10,20,car,110,Medium risk
489,26,20,25-40,male,2,20,rent,10,little,10,NA,5,3518,15,6,20,car,100,High risk
490,26,20,25-40,male,2,20,own,20,little,10,NA,5,1934,30,12,20,radio/TV,125,Medium risk
491,42,30,41-75,female,3,30,free,5,little,10,moderate,20,8318,15,27,10,business,120,Medium risk
492,27,20,25-40,female,2,20,own,20,moderate,15,NA,5,1237,30,6,20,radio/TV,130,Medium risk
493,38,20,25-40,male,2,20,own,20,NA,5,moderate,20,368,30,6,20,radio/TV,135,Medium risk
494,39,20,25-40,male,1,10,rent,10,little,10,little,10,2122,30,12,20,car,110,Medium risk
495,20,10,<25,male,2,20,own,20,NA,5,little,10,2996,30,24,10,furniture/equipment,105,Medium risk
496,29,20,25-40,male,3,30,rent,10,moderate,15,moderate,20,9034,15,36,10,furniture/equipment,120,Medium risk
497,40,30,25-40,male,2,20,own,20,little,10,NA,5,1585,30,24,10,furniture/equipment,125,Medium risk
498,32,20,25-40,male,1,10,own,20,little,10,moderate,20,1301,30,18,10,radio/TV,120,Medium risk
499,28,20,25-40,male,2,20,own,20,moderate,15,rich,30,1323,30,6,20,car,155,Low risk
500,27,20,25-40,female,2,20,own,20,little,10,little,10,3123,15,24,10,car,105,Medium risk
501,42,30,41-75,male,2,20,free,5,little,10,little,10,5493,15,36,10,car,100,High risk
502,49,30,41-75,male,2,20,own,20,moderate,15,rich,30,1126,30,9,20,radio/TV,165,Low risk
503,38,20,25-40,male,2,20,own,20,moderate,15,moderate,20,1216,30,24,10,radio/TV,135,Medium risk
504,24,10,<25,female,2,20,rent,10,little,10,little,10,1207,30,24,10,car,100,High risk
505,27,20,25-40,male,1,10,own,20,NA,5,NA,5,1309,30,10,20,car,110,Medium risk
506,36,20,25-40,male,2,20,own,20,quite rich,30,rich,30,2360,30,15,10,car,160,Low risk
507,34,20,25-40,male,3,30,own,20,moderate,15,moderate,20,6850,15,15,10,car,130,Medium risk
508,28,20,25-40,male,2,20,own,20,little,10,NA,5,1413,30,24,10,radio/TV,115,Medium risk
509,45,30,41-75,male,3,30,own,20,moderate,15,NA,5,8588,15,39,10,car,125,Medium risk
510,26,20,25-40,male,2,20,own,20,little,10,little,10,759,30,12,20,car,130,Medium risk
511,32,20,25-40,male,3,30,free,5,little,10,NA,5,4686,15,36,10,car,95,High risk
512,26,20,25-40,male,2,20,rent,10,little,10,rich,30,2687,30,15,10,business,130,Medium risk
513,20,10,<25,male,2,20,rent,10,little,10,moderate,20,585,30,12,20,radio/TV,120,Medium risk
514,54,30,41-75,male,2,20,own,20,NA,5,NA,5,2255,30,24,10,car,120,Medium risk
515,37,20,25-40,female,2,20,own,20,little,10,little,10,609,30,6,20,car,130,Medium risk
516,40,30,25-40,male,1,10,own,20,little,10,little,10,1361,30,6,20,car,130,Medium risk
517,23,10,<25,female,2,20,rent,10,little,10,NA,5,7127,15,36,10,furniture/equipment,80,High risk
518,43,30,41-75,male,2,20,own,20,moderate,15,little,10,1203,30,6,20,car,145,Low risk
519,36,20,25-40,male,2,20,free,5,NA,5,NA,5,700,30,6,20,radio/TV,105,Medium risk
520,44,30,41-75,male,2,20,free,5,little,10,NA,5,5507,15,24,10,repairs,95,High risk
521,24,10,<25,female,2,20,own,20,little,10,little,10,3190,15,18,10,radio/TV,95,High risk
522,53,30,41-75,male,2,20,free,5,little,10,little,10,7119,15,48,10,furniture/equipment,100,High risk
523,23,10,<25,female,2,20,own,20,moderate,15,NA,5,3488,15,24,10,car,95,High risk
524,26,20,25-40,female,1,10,own,20,little,10,moderate,20,1113,30,18,10,radio/TV,120,Medium risk
525,30,20,25-40,male,2,20,own,20,little,10,moderate,20,7966,15,26,10,car,115,Medium risk
526,31,20,25-40,female,2,20,own,20,moderate,15,NA,5,1532,30,15,10,education,120,Medium risk
527,42,30,41-75,male,1,10,own,20,little,10,NA,5,1503,30,4,20,radio/TV,125,Medium risk
528,31,20,25-40,male,2,20,rent,10,little,10,little,10,2302,30,36,10,radio/TV,110,Medium risk
529,41,30,41-75,male,1,10,own,20,little,10,little,10,662,30,6,20,car,130,Medium risk
530,32,20,25-40,male,2,20,own,20,little,10,moderate,20,2273,30,36,10,education,130,Medium risk
531,28,20,25-40,female,2,20,rent,10,moderate,15,moderate,20,2631,30,15,10,car,125,Medium risk
532,41,30,41-75,male,2,20,rent,10,little,10,NA,5,1503,30,12,20,car,125,Medium risk
533,26,20,25-40,male,2,20,own,20,moderate,15,NA,5,1311,30,24,10,radio/TV,120,Medium risk
534,25,20,25-40,male,2,20,own,20,NA,5,NA,5,3105,15,24,10,radio/TV,95,High risk
535,33,20,25-40,male,2,20,rent,10,little,10,rich,30,2319,30,21,10,education,130,Medium risk
536,75,30,41-75,female,3,30,own,20,NA,5,little,10,1374,30,6,20,car,145,Low risk
537,37,20,25-40,female,2,20,own,20,little,10,moderate,20,3612,15,18,10,furniture/equipment,115,Medium risk
538,42,30,41-75,male,3,30,free,5,little,10,little,10,7763,15,48,10,car,110,Medium risk
539,45,30,41-75,female,1,10,own,20,little,10,rich,30,3049,15,18,10,furniture/equipment,125,Medium risk
540,23,10,<25,male,2,20,rent,10,little,10,moderate,20,1534,30,12,20,radio/TV,120,Medium risk
541,60,30,41-75,male,2,20,free,5,little,10,NA,5,2032,30,24,10,car,110,Medium risk
542,31,20,25-40,male,2,20,own,20,NA,5,little,10,6350,15,30,10,furniture/equipment,100,High risk
543,34,20,25-40,male,1,10,own,20,little,10,rich,30,2864,30,18,10,furniture/equipment,130,Medium risk
544,61,30,41-75,male,1,10,own,20,little,10,NA,5,1255,30,12,20,car,125,Medium risk
545,43,30,41-75,male,2,20,free,5,little,10,little,10,1333,30,24,10,car,115,Medium risk
546,37,20,25-40,female,2,20,own,20,little,10,NA,5,2022,30,24,10,car,115,Medium risk
547,32,20,25-40,male,2,20,own,20,little,10,NA,5,1552,30,24,10,radio/TV,115,Medium risk
